aalug-alog	shaky, rickety
lamat	crack; glassware
lámay	night vigil for the dead, wake; overtime work at night
lambák	valley
lambanóg	coconut booze
lambát	a net used for catching fish, birds or other animals
lambóng	veil; pall; mourning mantle; dark covering for a coffin; black covering, usually high overhead
lambót	softness, tenderness
lamig	coldness
lamók	mosquito
lamon	voracious eating, gorging, gormandizing
lampara	a source of light, as a lamp
lampá	feeble, weak, awkward
lampás	overdone, excessive; beyond (syn lagpás, lábis, tagós)
lampasan	to overtake, pass over, go beyond (lit/fig)
lampaso	a mop
landas	a path, trail
langaw	housefly
langgám	ant
langís	oil; oily or fawning behavior (figurative)
langit	sky, heavens; ecstasy
langitngit	the squeaking sound of a door hinge
langkâ	jackfruit
langóy	swimming
langutngot	a crunching sound as when chewing something hard
lansángan	street, road
lantáy	pure, unadulterated
laós	obsolete, outdated
láot	far out in the open sea
lapastangan	irreverent, disrespectful, discourteous (walang pitagan, walang galang, walang pakundangan, bastos)
lapat	fine stripes of bamboo
lápat	close fitting; well adjusted, exact
lapida	gravestone
lapis	pencil
lapit	nearness
lapitan	to come near something
lapnos	peeled off (skin that has been burnt, etc.)
larangan	domain, field of knowledge
larawan	picture, portrait (litrato]) ilarawan (i-)
larga	go ahead!, proceed!
lasa	the taste or flavor of something
lasíng	drunk, intoxicated, inebriated
lasinggero	drunkard (also "lasingero")
lason	poison
lasunin	to poison
lata	can; tin; a container, box, etc. made of tin
lawa	a pond
lawa	bulging, sticking or protruding out
lawak	expanse, extent, area
laway	saliva, spittle
lawig	a length of time; a long duration (less commonly used than tagal)
lawin	hawk
lawít	suspended, hanging
layà	freedom, liberty
layag	a sail
layás	get out!, go away!
layaw	spoiled, pampered; freedom from parental control
layo	distance
layon	intention, purpose, objective, object, aim
layúnin	purpose, objective,aim, cause, goal, mission, intention (layon)
lebadura	yeast
leche	motherfucker
leeg	neck
liban	except (liban na); absent; absence, non-attendance, omission
libanan	to skip, omit
libáng	distraction; fun; entertainment
libangan	hobby, pastime, spare time activity, amusement, entertainment, recreation
libing	burial
libingan	grave, cemetery
liblíb	remote area; nása dako o pook na hindi gaanong batid o nararatíng ng tao; malayòng pook
libo	thousand
libu-libo	thousands
ligáw	wild, uncultivated, stray
lígaw	to get lost, to stray
lígaw	to woo, court
ligay	put, place, install
ligáya	happines, joy
ligoy	(n) wordiness, beating around the bush
ligsá	test, quiz
ligtás	saved, freed, redeemed; safe; exempt
ligwák	spill; fail, lose, defeat (slang)
liham	a letter (that you send in the mail, email, etc.)
líhim	(a) secret, confidential (also "sikreto")
liit	smallness
likas	exodus, evacuation
likás	natural, inherent, innate, characteristic, unwritten
likha	a creation; thing produced by intelligence and skill
likhain	to create
likô	turn ("likô hô")
liku-likong	zigzag
lila	lilac, violet, purple
lilim	a partly dark place, not in the sunshine
limitahán	to limit something
limlim	body warmth; impending darkness
limos	alms; stipend
limot	oblivion (root of forget)
limpák	lump (of things), pile, large amount
linaw	clearness (liquids); clarity (explanation); legibility; legible condition
língap	protective care; care, protect
lingawngáw	a sound or noise that is indistinct and originates from a multitude, din, buzz, murmur, commotion
lingíd	unbeknownst, covert, clandestine, hidden, not known, secret
lingíd sa kaalamán	unknown to, unaware of, literally: hidden from the knowledge of
lingkod	servant
linis	cleanliness, neatness, pureness
linisin	to clean
lintík	damn!, awesome!; lightning (less common than "kidlát")
lipad	flight
lipas	past, outdated, past its prime, passé
lipat	transfer, move to another place, relocate
lipi	lineage, ancestry, race
lipunan	society in general; group gathered for conversation
lisik	glaring angrily
litanya	litany
litó	confused
litong-lito	 very confused.
litráto	picture
liwalíw	leisure
liwanag	light, shine
liwayway	dawn
liyab	blaze, flame
lobo	balloon
loko	cheating, deceiving; crazy person, lunatic; crazy, insane, demented, mad
lóok	a bay, gulf, harbor
losyang	looking older than her age, especially married women who’ve let themselves go.
lubák	pothole, hollow in the ground
lubák-lubák	full of potholes
lubáy	calm (n), looseness (lubayán, lumubáy, maglubáy)
lubhâ	extremely (syn. lalâ)
lubid	rope, chord
lublób	submerged, sunken, buried (lit. or fig.) also lubóg
lubóg	submerged, sunken, buried (lit. or fig.) also lublób
lubós	complete, exhaustive, entire, unmitigated, quite, wholly, in full
lugár	place, site, point, spot, region, location, seat, space
lugás	grain, drops, specks, bead; falling off (as leaves from twigs or grain from stalk)
lugí	financial loss
lugmók	prostrate and helpless
lúho	luxury
luhò	luxury, whim
luhod	act of kneeling; kissing the hand of elders, or ecclesiastics accompanied by kneeling
luhóso	extravagant
luko	crazy (loko)
lukób	sheltered, protected, kubkób, natatakpan
luksá	in mourning, in black
lukso	jump, leap, spring
lulan	what a vehicle is carrying, load (syn "karga")
luló	fallen; addicted
lumà	old, worn, stale, antiquated (used for objects, not like matanda)
lumabág	to violate (eg, the law)
lumabas	come out, emerge, be found to be, appear; brought out
lumagay	to put oneself in a certain condition
lumagi	to remain (lagi)
lumakad	to walk, to move or advance forward (as eg a bus)
lumakas	became stronger, recuperated
lumakí	to grow big, enlarge
lumaktaw	to skip
lumalâ	became worse
lumalapit	approaching
lumamig	to become cold
lumangoy	to swim/swam
lumapit	to approach
lumawa	to bulge, to stick out, to protrude
lumawak	to expand, to spread
lumawig	to prolong
lumaya	to become free
lumayo	go/stay/keep away
lumbay	sadness, low spirits; loneliness
lumihis	to swerve, deviate, stray, detour
lumikas	flee, evacuate
lumikhâ	to create
lumimot	to forget
lumindol	to have an earthquake
lumipad	to fly, take off, flew
lumipad-lipad	to hover
lumipas	passed
lumipat	change one's place of living, transfer, migrate
lumò	weariness
lúmot	moss, algae
lumpasay	to wail on the ground while crawling; to lie down in exhaustion
lumpó	a crippled person, esp. the legs
lumubóg	to set
lumulan	to load, to ride
lumulútan	floating
lumusong	to descend, to sink
lunggâ	burrow, hole, mouse hole, cave
lungkot	sadness, sorrow
lungsód	city
luningning	sparkle; shine; brilliance; scintillation
lunos	pity, compassion
lunti	green
luntian	green, greenish (old fashioned. berde is common.)
lupa	earth
lupaypáy	prostrate, limp; walang lakas o enerhiya at ganap na nakahandusay o nakabagsak (also 'lupipáy')
lupít	cruelty, mercilessness, savageness, harshness
lupon	committee, board, body, group
lusaw	to melt, dissolve
lusóg	healthiness
lusong	descent, sinking
lustáy	embezzle, also used to refer to general wasteful, excessive spending
lusyang	dowdy, frumpish; a dowdy frumpish woman
lutáng	afloat; drifting; buoyed; floating
luto	cooking, cuisine
lutó	cheating, game fixing (slang)
luwag	looseness, ease, with space/allowance
luwát	tardiness, delay; a long time
maaarì	possible, can, may (less common than puwede)
maáasahan	can depend on
maaga	early, immediately, right away
maágap	quick, prompt, in time
maalaala	to remember (also maalala)
maalala	to remember/recall something; to be reminded of something; to be able to remember something; to remember something by accident
maálalahanín	considerate, thoughtful
maalat	salty
maalinsangan	humid, hot and humid, muggy (alinsangan)
maaliwalas	bright; serene (as of the weather, a room, the countenance, etc.)
maámo	gentle
maamuyan	to smell something
maangháng	spicy, pungent; piquant
maantala	to be delayed
maarte	artistic; with artificial mannerisms, snobby; fussy
maasáhan	to be able to rely on / count on / trust / expect someone/something
maasár	to be furious, to be frustrated
maasim	sour, acidic
maawa	to take pity or mercy
maayos	orderly
mababa	low
mababawi	to undo something
mabagbág	to be affected by some feeling
mabágal	slow
mabágo	be able to change or be changed
mabahala	to be concerned or apprehensive
mabaít	nice, kind
mabalaghán	to be astonished
mabalot	wrap around, envelop, enshroud, encase, encrust
mabanaagan	enlightened
mabanatan	to be beat up
mabangís	savage, vicious, fierce, ferocious
mabasag	to be broken
mabatid	to be informed
mabenta	very marketable (is selling a lot)
mabiga	fault-finding
mabigát	heavy
mabilis	fast, quick
mabilis	rapidly
mabuksan	to become open
mabundol	to ram with something large and long
mabungi	to be/become chinked; to lose a tooth
mabungian	to lose a tooth
mabúti	good in character, condition, quality; (as adjective) carefully, well, with effort, vigorously, heartily
madaanan	passable, drivable
madahan	slow
madakdak	talkative, overly chatty
madalang	rarely; rare, scarce, few, sparse, scanty, thin
madalás	frequently
madalí	easy
madalíng-araw	“soon to be day” = dawn, very early morning
madapâ	to trip and fall
madaplisan	graze (nadadaplisan, nadaplisan, madadaplisan)
madinig	to hear
madulás	slippery
madulás	to slip
maestra	female teacher
mag-aarál	a student
mag-aáral	will study
mag-abot	hand over
mag-alalá	to worry; to be concerned; to be anxious; to be apprehensive
mag-ensáyo	to practice
mag-iba	to change or switch
mag-ingat	to be careful
mag-ingay	to make loud noise
mag-isa	to be alone
mag-isip	to think of a plan
mag-ulat	to report, give an account of
mag-ungkat	to bring up again
magaan	light, not heavy (gaan)
magagawa	able to be done
magalak	to rejoice
magalang	respectful, well-mannered
magaling	to be good at something; to improve at something, recover, get better
maganáp	to happen, take place (syn. mangyari)
magandá	good in appearance or quality, beautiful, pretty, lovely
magarbo	graceful, elegant
magastos	costly
magawâ	to be able to do; to happen or be done
magbabâ	to lower something
magbabád	to soak, to linger
magbagá	to burn brightly/hot
magbago	to change, reform, mend
magbaka-sakali	speculate, take a chance, risk for future gain
magbanat	to "go hard"
magbawas	to reduce
magbenta	to sell something
magbigti	to hang or strangle oneself
magbilí	to sell (no longer widely used, favor magtinda or magbenta)
magbitiw	to resign; to utter ("let go" words) (magbitaw)
magbukid	to farm
magbukod	to set aside, put to one side
magbulaán	to tell lies/stories/fables
magbulag-bulagan	pretend to be blind
magbuo	to assemble, complete
magdahilan	to make excuses which are not genuine
magdamág	all night; overnight; during the night (can be like hating-gabi)
magdasal	to pray
magdaya	to cheat, trick
magdikit	to stick together
maghain	to set the table; to prepare for; to lay the groundwork for; to file (a complaint, case, etc.). (actor)
maghambóg	to brag, boast
maghanáp	to seek, to search
maghapunan	to have dinner
maghawak	to hold each other by the hand
maghinanakIt	to have hurt feelings (naghinanakIt ako sa kanya)
maghinuhà	to deduce, infer
maghunos-dilì	to control oneself, to 'think before you act' (also 'hunusdili')
magigisnan	to awaken to
magiliw	hospitable, gentle, affectionate, genial; beloved; blessed
magíng	to happen, become, experience something; even
magíng isa	to become one (from more than one)
máginoó	gentlemanly; honorable, a gentleman
magíting	heroic (gíting)
magkabait	one's senses
magkabalikan	to get back together (mutual: 'nagkabalikan na silang dalawa')
magkadugo	having the same blood
magkáduróg-duróg	to become thoroughly crushed/smashed
magkágayunmán	nevertheless, however, "be that as it may"(?)
magkahalagá	to be valued at (Nagkakahalaga ng sandaang piso ito.)
magkaibá	to differ or be different from each other (ref. to two things/people "Paano sila nagkakaibá?)
magkáisá	to unite
magkálarô	to play together (mutual focus) (nagkákálarô, magkákálarô)
magkalarô	playmates
magkásirá-sirá	to become thoroughly damaged
magkaisip	something like "got a clue", grew up mentally/emotionally
magkakabisa	will take effect, will become effective/valid
magkakamali	to make a mistake
magkakambal	to be twins
magkakáno	how much each?
magkakapareho	the same (ref. to two(?) things/people)
magkakasingkahulugan	things that are of the same meaning
magkalapit	to be close together (two things/people)
magkamali	to make a mistake
magkano	how much?
magkano man	whatever the cost (price)
magkantót	to have sex (crude term?)
magkapareho	the same (ref. to two things/people)
magkapatid	siblings
magkapit	to hold onto each other, to join hands
magkaroón	to come to have, to have happen, to acquire (mayroon)
magkasama	together
magkasintahan	a couple in a romantic relationship
magkasundô	to be in mutual agreement/harmony (mutual focus)
magkatapat	face to face, opposite each other
magkatulad	similar (two things)
magkatugma	to go well together, fit together, match (mutual focus)
magkaunawaan	to have an understanding of each other’s position
magkita	to meet or see each other (reciprocal actor focus)
magkumahóg	to rush; to hasten (kahóg)
magkunwari	to pretend (also 'magkunwa')
