(mga) baryá	coins
Inaba ng hari ang alipin.	The king mistreated the slave.
inaba	was treated miserably
Inabala na naman ako ni Juan.	Juan bothered me again.
Inabuluyan ko sila ng limang piso.	I gave them five pesos in sympathy.
inagawan	to deprive
Inahas niya ang asawa ko.	She stole my husband.
inahin	mother hen
Inakala silang patay.	They were assumed dead.
Inakyat ko ang puno.	I climbed the tree.
Inakyat ng magnanakaw ang bahay.	The thief broke into the house.
inalikabukang mesa	dusty table (a table on which dust has gathered)
inalipusta: dinusta, minaliit, pinagmataasan, inapi, inaba, inamis,	inayop (dahil sa pagiging hamak)
inalis	removed
Inalok nila ang kanilang tulong.	They offered their help.
inalok	offered
inam ng kilos	gentility/elegance of behavior
Inamin ko ito sa kanila.	I admitted this to them.
Inamoy ako ng aso.	The dog smelled me.
Inang Bayan	Mother Country
Inang Yaya	Mother Nanny
inaruga	is nurturing
inaruga	nurtured
Inayos ko ang radyo.	I fixed the radio.
Ingat ka. Baka masabit.	Be careful. It might get snagged.
Ingat po kayo.	Please take care. (to older person)
Ingat sa biyahe.	Have a safe trip!
Ingat sa biyahe.	Have a safe trip!
Ingat sa pamumusta…	Be careful with betting…
ingat-yaman	treasurer
inggit	jealousy
inialok	offered
inihandog sa harap ng Panginoon	offered in front of the Lord
Iniisip kita lagi.	I’m always thinking of you
Inilahad nila ang lahat ng ebidensya.	They showed all the evidence.
inilinis	cleaned (something)
init ng apoy	heat of fire
Initak ko siya.	I used a machete on him/her.
iniutos	commanded, ordered
Iniwan mo akong litong-lito.	You left me very confused.
Iniwanan niya akong mag-isa!	He left me by myself!
inom	to drink
intensibo	intensive
interaksiyon ng mga mamimili at nagtitinda	interaction of buyers and sellers
Inubos ko ang sorbetes.	I finished off the ice cream. (ate it all)
Inuhaw ako sa pagkanta.	Singing made me thirsty.
Inuhaw ako.	I became thirsty.
Inulit nila ang seremonya.	They repeated the ceremony.
inulit, v	repeated
Inuuhaw ako.	I’m feeling thirsty.
inyo	your, yours (plural)
ipaalam	to inform
ipabatid	inform
ipagbigay-alam	to give notice
Ipagdasal mo ako.	Pray for me.
ipagdasal	to pray for something
ipaggiitan (ipinaggigiitan, ipinaggiitan, ipaggigiitan) verb	assert; insist on
ipagkapuri	be proud of or well satisfied with
Ipagkatiwala natin ito sa Diyos.	Let’s leave this up to God.
Ipagkatiwala natin sa Diyos.	Let’s leave it up to God.
ipagpatawad	to pardon, excuse
ipagpatuloy	to continue, keep on
Ipagpaumanhin po ninyo ako…	Please excuse what I did…
Ipagpaumanhin po ninyo…	If could excuse (what happened)…
ipagpaumanhin	to excuse
ipagsaya	to celebrate
ipagunitâ	remind
ipahayag	announce, proclaim, express
ipakahulugan	to give as an intrepretation
ipakita	to show
Ipakukulong kita.	I’ll have you jailed.
ipaliwanag, v	to explain, to make clear, to clarify
ipamalas	to show, prove one’s ability
Ipapakulong kita.	I’ll have you jailed.
Iparanas mo sa kanila.	Have them experience it.
Iparanas mo sa kanila.	Have them experience it.
iparanas	to make someone experience
iparanas	to make someone experience
Ipasa mo kay Pedro.	Pass it to Peter.
ipatapon	to exile
ipatnubay	to direct one’s way, steer
ipatupád ang mga batas	to enforce the laws
ipatupád	to enforce
ipinabatid	informed, let known
ipinagbabawal na gamot	illegal drugs
ipinahayag	announced, expressed
ipinahiram	lent
Ipinakita ko ang papeles ko.	I showed my papers.
ipinakita	showed
ipinarada ang mga bata sa kalye	paraded the kids in the street
ipinarada	parked, paraded
ipinayo	advised
ipinuwesto	installed in place
ipunin	to gather, collect, save
ipuwesto	to install in place
Is this it?	So is this Christmas?
Isa ka pang tarantado.	You’re another asshole.
Isa kang túnay na babae.	You are a real woman.
Isa lang yata.	Just one, I think.
Isa sa pangunahin sa mga pagawaang may makabuluhang bilang ng mga	kababaihang manggagawa ay sa mga pagawaan ng sigarilyo at tabako.
Isa sa pinakakaraniwang kamalian tungkol dito…	One of the most common mistakes about this…
Isa sa sinauna’t katutubong paraan ng pagsusulat sa bansa.	One of the country’s ancient and native methods of writing.
Isabit ang kuwintas sa leeg.	Hang the necklace on the neck.
Isabit ang pantalon sa sangay ng puno.	Hang the pants on the tree branch.
isabit sa pako	hang on the nail
isabog: ikalat, ipamudmod, ipamahagi; ihasik, isaboy; itapon sa iba’t	ibang dako
isagawa	to put into effect
isaglit	to do in a hurry
isaisip	to bear in mind
isang 20-anyos na kahera	a 20-year-old cashier
isang anyô ng karahasan	a form of violence
isang bagong panganak na sanggol	a newly born infant
isang batikáng kuwentista	an expert story-teller
isang batikáng kuwentista	an expert story-teller
Isang bayabas, pito ang butas.	One guava, seven holes.
isang beses	one time, once
isang buo	one whole
isang buong piraso	one whole piece
isang buwan	one month
isang daán	one hundred
isang daang libo	one hundred thousand
Isang dambuhalang bulalakaw ang gumuhit sa kalangitan.	A huge meteor streaked across the sky.
isang hila	one pull
isang kamay	one hand
isang kasosyo sa negosyo	a partner in business
isang katutubong anyô ng tula	a native form of poetry
isang kutsarang asukal	a spoon of sugar
Isang lalaki ang nakatawag pansin sa akin.	A man attracted my attention.
isang linggo	one week
isang malaking piraso ng aking puso	a big piece of my heart
isang modelong lungsod	a model city
isang pag-aaral upang masuri ang epekto	a study for analyzing the effect
isang pampublikong paaralan	one public school
isang patak	one drop
isang piraso	one piece
isang punò	a tree
Isang rambol ang nangyari.	What happened was a rumble (gangfight).
isang sakong bigás	a sack of rice
isang sanhi ng patuloy na paghihirap ng mga magsasaka	one reason for the continued hardship of farmers
Isang sayaw lang.	Just one dance.
isang sayaw pandiriwang	a celebratory dance
isang suntok	one punch
isang tao lamang	just one person
isang taon	one year
isang taong dati kong minahal	a person that I used to love
isang tasa ng mainit na kape	a cup of hot coffee
isang tulak	one push / one shove
isang uri ng kabuhayang masaya	a happy form of living
isangkap	to use as an ingredient
isaoras	to time
Isara ang lahat ng bukas na bintana.	Close all the open windows.
Isara mo ang iyong mata.	Close your eyes.
Isara mo ang pinto.	Close the door.
Isarado mo ang bibig mo.	Close your mouth.
Isarado mo ang pinto.	Close the door.
isawalang-bahala	to not pay attention to
Isay	a girl’s name
isiksik	to assert, insist
isiksik	to cram, pack
isiksik	to wedge, insert
isilang	to be born, bring forth
isilid	to enclose in a container
Isinara ang daan.	The road was closed.
Isiniksik ko sa bulsa ko.	I crammed it into my pocket.
isinisiwalat ang balita	spreading the news
isinisiwalat	is disclosing
Isinugod sa ospital.	(Someone) was rushed to the hospital.
isinuko	surrendered someone or something
isipin	to think about
isip-ipis	“cockroach-minded” = ignorant
isip-tao	human thinking
ispeling	spelling
isuka	to spew out
Isulat mo ang iyong pangalan.	Write your name.
Isulat mo dito ang iyong pangalan.	Write your name here.
isulat	to write down
isulit	to make full use of
Isumbong mo ang bata sa titser.	Report the child to the teacher.
isumbong	to inform someone about what a person did
Isumite ito sa tanggapan bago umalis.	Submit this to the office before leaving.
Isuót mo ito.	Wear this.
Isuót mo sa butas.	Insert (it) into the hole.
isuót	to insert
isuót	to wear
Isusumbong kita sa nanay mo.	I’ll tell on you to your mother.
Isusumbong kita…	I’ll tell on you…
Isusumbong ko ang ginawa mo.	I’ll report what you did.
It is a very humble bag with two handles that can fit snugly in the	hands.
itaás	to hoist, raise, lift
itabi	to put or set aside
itakda	to assign, settle, restrict
Itakin mo!	Use a machete on it.
itakin	attack something with a machete
Itali mo ito.	Tie this up.
itali	to tie
Itambak mo ang basura sa likod ng bahay.	Pile up the trash behind the house.
itambak	to pile
itampok	to feature
Itanong mo kay Itay.	Ask Dad about it.
Itanong mo kina Itay.	Ask Dad and the others with him about it.
Itapon ang basura.	Throw away the garbage.
Itapon mo ang sarili mo sa hangin.	Throw yourself to the wind.
Itatanong ko kay Lola.	I’ll ask Grandma.
itay	to bet something
Itigil ang kasal!	Stop the wedding!
Itigil mo ‘yan.	Cut that out. (Stop it.)
Itigil mo na ang pangungulit mo.	Stop your nagging.
itik	small, brown duck
Itik-itik kung tagurian…	It’s called itik-itik…
itim at puti	black and white
itim na aso	black dog
itim na pusa	black cat
itim na pusa	black cat
Itinanong ko kung ano ang naging sanhi ng sakit ng aso.	I asked what the cause was of the dog’s illness.
itindig: tapusin o wakasan ang ginagawa tulad ng pagtitindig sa isang	pulong
Itinuro sa mga dukha na gantihan nila ng tinapay kapag pinupukol sila	ng bato ng mga mayayaman, hindi ba?
itinuwid ang maling impormasyon	corrected the wrong information
itira	set aside
itiwala	to entrust
itlog ng páto	duck egg
Ito ang aking akála.	This was what I thought.
Ito ang alók ko.	This is my offer.
Ito ang bahagi na kailangang ayusin.	This is the part that has to be fixed.
Ito ang hinala ko.	This is my suspicion.
Ito ang pagsilang ng araw sa umaga.	It is the rising of the sun in the morning.
Ito ang payo ko.	This is my advice.
Ito ang pinakamasarap na natikman ko.	This is the most delicious I’ve tasted.
Ito ay bahagi ng programa.	This is part of the progam.
Ito ay inyo. Ito’y inyo.	This is yours. (speaking to more than one person)
Ito ay isang pangngalan.	This is a noun.
Ito ay iyo. Ito’y iyo.	This is yours. (speaking to one person)
Ito ay kahon.	This is a box.
Ito ay kanila.	This is theirs.
Ito ay kanya.	This is hers/his.
Ito ay kataga na nag-uugnay sa panuring at salita. Halimbawa: marikit	na ibon
Ito ay katúpáran ng isang panaginip.	This is the fulfillment of a dream.
Ito ay mulâ sa akin.	This is from me.
Ito ay mulâ sa pelikulang Barako.	This is from the movie Barako.
Ito ay pagsulyap sa isang tao na hindi niya nalalaman.	It is taking a glimpse at a person without him/her being aware of it.
Ito’y idinulog sa Mataas na Hukuman.	This was presented to the Supreme Court.
itsúra	the way somebody looks
itulad	to compare
itulak	to push, to shove
ituloy	to continue, proceed
Ituro mo sa akin.	Point it out to me.
Ituro mo sa akin.	Teach it to me.
ituwíd	to straighten, to correct
iugnay	to connect
iulat	to report
iutos	to command, to tell to do
Iwasan ang pagkakagusto sa mga taong peke.	Avoid taking a liking to fake people.
Iwasan mo ito.	Avoid this.
iwas-malas	avoidance of misfortune
ka, ikaw	you (singular)
ka·hé·ra	female store cashier
ka·la·mi·dád	calamity
ka·li·dád	quality
ka·ra·mí·han	most
kaagad, adv	immediately
kaagad, adv	immediately
kaagahan, pagka-maaga, katempranuhan, pagsapit o pagdating nang una sa	takdang oras
kaalinsanganan o lasang likha ng maraming asin; (patalinhaga) pulis,	alagad ng batas
kaarawan	anniversary
kaarawan	birthday
Kaawaan kayo ng Diyos.	God have mercy on you.
kaaway ng babae	woman’s enemy
kaaway	enemy
kababaang-loob	humility, humbleness
kababayan	compatriot, someone from the same region
kabaligtaran	the opposite
kabaligtarang kalagayan	reverse situation
kabalikat	partner
kabanálan	virtue, sanctity, piety
kabataan	youth
Kabataang Esperantista ng Pilipinas	Philippine Esperanto Youth
Kabataang Makabayan	Patriotic Youth
Kabataang Pinoy	Filipino Youth
kabatiran	information
kabayaran	payment
kabilisan	quickness, celerity
kabisa: pinuno ng barangay (bahagi na pamahalaang pambayan noong	panahon ng Kastila at sa kasalukuyan)
Kabisado ko ang lugar na iyon.	I’m very familiar with that place.
Kabisado nila ang mukha ko.	They’re know my face very well.
kabisado	be thoroughly familiar with (a process, etc.)
kabisado	memorized
Kabisaduhin mo it.	Familiarize yourself with this.
Kabisaduhin mo it.	Familiarize yourself with this.
kabisaduhin	to commit to memory
kabisaduhin	to familiarize oneself with (a process, etc.)
kabisaduhin	to familiarize oneself with something very well
kabít	attached, connected
kabít	common-law wife
kabít	mistress
kabiteran	Taglish word referring to a state of bitterness
kabuhayan	livelihood
kabuhayang dikit sa lupa	livelihood intertwined with the land (agricultural job)
kabuhayang dikit sa teknolohiya	livelihood intertwined with technology
kabuhayang matahimik	quiet living
kabuhayang sosyal	social livelihood
kabuhayang-bansa	national livelihood / economy
kabulagan	state of blindness
kabutihan	goodness, benefit
kabuuan	composition, entirety
Kadalasan ay tila walang preno sa pagtatanong ang mga tao.	Often it seems people have no brakes when it comes to asking questions.
kadugo	a blood relative
kagabi	last night
kagabí	last night
kagalakán	joy, delight
kagalang-galang	honorable, respectable
kagamutan	cure, remedy
kaganapan	fulfillment, occurrence
kagat ng aso	dog bite
kagawad	member of a committee
Kagawaran ng Edukasyon	Department of Education
kagawaran	college faculty
kagawaran	government department
kagaya	similar
kagiliran	surroundings, environment, horizon
kagubatan	woods, wilderness
kagulat-gulat	startling, amazing
kaguluhan	melee, confusion
Kagutom.	Is making one hungry.
kagya’t	suddenly
kagyat	immediate
kahambugan	bluster
Kahapon lamang.	Just yesterday.
kahapon	yesterday
kahati	one with whom you share
kahilihili / kahili-hili	enviable
kahilihiling ganda	enviable beauty
kahilingan	request, petition, application
kahilingang maging kaibigan	request to befriend
Kahina-hinala ang ginawa nila.	What they did was suspicious.
kahina-hinala	suspicious; dubious
kahina-hinala	suspicious; dubious
kahina-hinalang kilos	suspicious behavior
kahingían	requirement
kahingían: anumang kailangan upang magta-gumpay o maisakatuparan ang	binabalak
kahiramang-suklay: one from whom one frequently borrows a comb (a	friend)
kahirapan	difficulty
kahirapan	poverty, hardship
Kahit ‘di maintindihan	Although incomprehensible
Kahit ano pang mangyari, susuportahan kita.	Whatever happens, I’ll support you.
kahit ano	anything
Kahit anong mangyari…	Whatever happens…
Kahit ganito lang ako… simpleng tao	Even though I’m just like this… a simple person
Kahit Isang Saglit Lang	Even For Just a Moment
Kahit kanino ay aking maipagyayabang	I’ll brag about it to whomever
Kahit na butas ang aking bulsa	Even though my pocket has a hole
Kahit na wala akong pera	Even though I have no money
Kahit pa maong ko’y kupas na	Even though my jeans are faded now
Kahit pamasahe lang ang palagi kong dala	Even if I always have only enough money for the bus
Kahiya-hiya ang ginawa mo.	What you did was disgraceful.
kahiya-hiya	disgraceful, shameful
kahog: kahihiyan dahil sa pagdating nang huli sa trabaho o sa	pagka-atraso sa pagbabayad ng utang
kahulugan sa Tagalog	meaning in Tagalog
Kahulugan sa Tagalog	Meaning in Tagalog
Kahulugan sa Tagalog	Meaning in Tagalog
Kahulugan sa Tagalog: grabe, rendido, lipos, tigmak, tigib, nasugapa;	lupasay, laylay, handusay, dapa
Kahulugan sa Tagalog: grupo o pulutong ng magkakaibigan	Meaning in Tagalog: group of friends
Kahulugan sa Tagalog: tagapaglitis, tagapagiyasat, tagapag-usig,	tagapagsuri
kahusayan	the state of being skillful
Kailan ang dating mo?	When are you arriving?
Kailan ang kasal?	When is the wedding?
Kailan ang kasal?	When’s the wedding?
Kailan ang kasalan?	When’s the wedding?
Kailan ang pasukan ninyo?	When does school start for you guys?
Kailan nga ba sa buhay mo, ika’y nadako sa aklatan?	When in your life have you been towards the library?
Kailan sa Mayo?	When in May?
Kailan sila nag-umpisang mag-inuman?	When did they start drinking?
Kailang ang Araw ng Kalayaan sa Pilipinas?	When is Independence Day in the Philippines?
Kailangan bang lumikas?	Is there a need to evacuate?
Kailangan bang lumikas?	Is there a need to flee?
Kailangan kita.	I need you.
Kailangan ko ng báso.	I need a glass.
Kailangan ko ng dalawang báso.	I need two glasses.
Kailangan ko ng gamot.	I need medicine.
Kailangan ko ng hagdanan.	I need a ladder.
Kailangan ko ng hangin.	I need air.
Kailangan ko ng iyong pag-unawa.	I need your understanding.
Kailangan ko ng kalaro.	I need a play partner.
